"","Day.x","Mouse_ID","Eotaxin..74.","G.CSF..54.","GM.CSF..73.","IFNg..34.","IL.10..56.","IL.12p40..76.","IL.12p70..78.","IL.13..37.","IL.17A..72.","IL.1b..19.","IL.2..36.","IL.3..18.","IL.4..39.","IL.5..52.","IL.6..38.","IL.9..33.","IL.1a..53.","KC..57.","MCP.1..51.","MIP.1B..75.","MIP.1a..77.","RANTES..55.","TNFa..21.","Severity","Sex"
"41",4,42,32181.29496,0,944.9640288,961.5107914,733.4532374,4169.064748,4155.035971,6101.079137,511.5107914,161.8705036,1021.942446,440.2877698,41.0071942,334.1726619,507.1942446,1264.028777,1325.539568,1305.035971,7781.654676,3393.165468,291.7266187,23883.45324,3304.316547,"mild","Male"
"42",4,43,217582.8402,77860.35503,4231.360947,2026.035503,3681.656805,72320.71006,16491.12426,8928.402367,551.4792899,1196.449704,565.6804734,536.0946746,352.6627219,3662.721893,19707.10059,2735.502959,4872.189349,145769.8225,1255317.16,426111.8343,76085.2071,259797.6331,7144.970414,"mild","Male"
"43",4,44,57217.98246,0,880.7017544,871.9298246,406.5789474,2133.77193,3918.859649,4023.684211,427.6315789,110.5263158,1202.631579,188.5964912,50,349.122807,254.8245614,1561.842105,1095.614035,1332.45614,12088.59649,5040.350877,474.5614035,25835.96491,2240.350877,"mild","Male"
"44",4,45,38068.16609,0,221.4532872,711.7647059,101.384083,2609.342561,1947.404844,3054.67128,275.7785467,58.1314879,532.5259516,163.3217993,5.1903114,149.8269896,180.2768166,865.7439446,812.1107266,1082.00692,7735.640138,2604.49827,344.6366782,17535.64014,1294.809689,"mild","Male"
"45",5,46,36837.80161,2312.064343,808.0428954,500,569.1689008,12040.75067,2796.246649,1545.576408,213.6729223,94.1018767,175.0670241,119.0348525,34.8525469,208.310992,982.0375335,510.7238606,806.9705094,4792.761394,60571.31367,27826.00536,7013.941019,144023.3244,937.8016086,"severe","Male"
"46",5,47,30714.67066,0,517.6646707,898.8023952,303.5928144,1750.299401,3010.778443,3944.311377,272.4550898,84.7305389,985.3293413,128.742515,17.6646707,300.8982036,266.4670659,1287.125749,1172.45509,1068.562874,5944.311377,3103.293413,408.6826347,36795.80838,1604.790419,"mild","Male"
"47",5,48,18182.61965,0,435.5163728,666.2468514,266.4987406,1607.304786,2187.90932,2738.790932,215.6171285,61.7128463,636.0201511,136.5239295,20.6549118,186.1460957,283.8790932,949.1183879,801.0075567,847.1032746,6267.002519,4219.899244,653.9042821,52767.00252,1160.453401,"mild","Male"
"48",5,49,31223.25581,5374.127907,1200.872093,1511.627907,9773.837209,45914.24419,5714.825581,3450.290698,252.0348837,382.5581395,545.0581395,285.1744186,104.3604651,747.6744186,6513.081395,1075.290698,962.2093023,11368.31395,736449.7093,316591.8605,105916.5698,811635.7558,2922.093023,"severe","Male"
"49",5,50,25518.07229,0,138.1526104,915.2610442,59.8393574,2445.381526,2611.646586,3891.164659,41.7670683,73.8955823,405.2208835,96.7871486,36.1445783,464.2570281,285.1405622,1115.261044,780.3212851,2806.425703,14019.27711,5666.26506,1625.301205,33848.59438,995.9839357,"severe","Male"
"50",5,51,48103.67647,6082.352941,802.6960784,767.8921569,662.5,11422.79412,3167.156863,3069.852941,224.2647059,137.9901961,466.9117647,167.8921569,65.4411765,466.6666667,1812.009804,1224.019608,690.9313725,7169.117647,90386.76471,21677.69608,7131.127451,113268.8725,1563.480392,"severe","Male"
"51",5,52,38893.93939,0,295.5922865,612.3966942,243.2506887,2709.917355,2444.077135,2141.322314,209.3663912,63.0853994,701.1019284,88.4297521,33.6088154,98.0716253,201.9283747,974.3801653,836.6391185,893.9393939,6355.096419,2801.652893,268.8705234,16009.36639,1064.738292,"mild","Male"
"52",5,53,918.9922481,0,0,76.3565891,0,24.8062016,0,907.751938,0,0,0,0,0,0,0,111.2403101,0,157.751938,0,0,33.3333333,2536.434109,0,"mild","Male"
"53",5,54,43930.50193,0,667.5675676,869.1119691,657.1428571,6307.335907,3401.544402,4455.212355,435.5212355,109.2664093,530.8880309,198.4555985,59.0733591,255.984556,412.7413127,1072.200772,638.996139,4255.212355,19264.47876,8271.042471,1264.478764,103483.7838,1972.200772,"mild","Male"
"54",5,55,34690.49587,0,518.1818182,815.7024793,364.8760331,2596.694215,2893.38843,3933.057851,411.9834711,104.1322314,614.8760331,200.8264463,53.7190083,273.9669421,215.2892562,1033.884298,763.2231405,1401.652893,12713.22314,6369.421488,1041.735537,102423.5537,1597.107438,"mild","Male"
"55",5,56,41847.51958,4665.274151,488.772846,451.4360313,172.3237598,4655.874674,2462.924282,2213.83812,163.7075718,77.8067885,255.0913838,105.2219321,19.5822454,222.7154047,1487.467363,665.2741514,573.6292428,6993.994778,40867.88512,10869.97389,2218.276762,60409.39948,1041.253264,"severe","Male"
"56",5,57,12133.04348,255.942029,185.5072464,588.115942,0,1180,0,2355.652174,62.8985507,53.3333333,292.4637681,132.7536232,8.4057971,170.1449275,0,366.6666667,176.2318841,5237.391304,60103.76812,9683.768116,808.4057971,99256.52174,735.942029,"severe","Male"
"57",5,58,38407.76699,0,276.1165049,276.1165049,0,1761.941748,1105.048544,971.4563107,124.8543689,32.6213592,131.0679612,46.7961165,29.7087379,31.2621359,119.8058252,298.8349515,302.7184466,736.1165049,6046.796117,2548.15534,410.4854369,32929.70874,562.1359223,"mild","Male"
"58",5,59,32145.61404,0,921.754386,606.6666667,86.3157895,2747.368421,2084.561404,2851.578947,236.8421053,64.5614035,182.8070175,210.1754386,45.6140351,131.5789474,249.122807,676.4912281,643.5087719,1138.596491,11786.66667,3946.666667,799.2982456,78050.87719,1227.368421,"mild","Male"
"59",5,60,46830.76923,2397.202797,997.2027972,757.6923077,1259.090909,5940.909091,4474.475524,3684.265734,295.4545455,109.4405594,591.6083916,160.1398601,56.2937063,463.2867133,1479.72028,938.8111888,791.958042,9350.699301,95406.99301,33404.54545,9973.076923,138030.7692,1918.181818,"severe","Male"
"60",8,61,34206.15711,7059.023355,819.1082803,1245.647558,2443.73673,5902.760085,2822.717622,3001.4862,184.0764331,237.7919321,322.5053079,182.8025478,69.0021231,435.881104,3908.492569,682.5902335,667.940552,19913.58811,140786.4119,67403.60934,13108.9172,275595.3291,2191.082803,"severe","Male"
"61",8,62,9687.837838,8450,651.6891892,2038.513514,37138.51351,17864.86486,4495.439189,1722.972973,121.1148649,272.972973,519.5945946,196.2837838,56.4189189,305.9121622,3245.945946,589.6959459,1071.959459,8232.939189,0,409469.9324,0,547724.6622,2305.236486,"severe","Male"
"62",8,63,17502.47934,106.1983471,221.6942149,195.2479339,79.9586777,3269.008264,1459.504132,573.9669421,105.9917355,25.2066116,19.6280992,58.0578512,28.3057851,25.2066116,170.661157,242.3553719,545.661157,1328.099174,4882.644628,4285.950413,611.7768595,80529.75207,427.6859504,"severe","Male"
"63",8,64,22539.54802,0,0,555.3672316,26.5536723,9441.242938,2720.338983,3572.316384,423.1638418,68.9265537,177.9661017,181.3559322,16.3841808,266.6666667,466.6666667,521.4689266,686.440678,1483.050847,12953.10734,8031.638418,1224.293785,40123.72881,1434.463277,"mild","Male"
"64",8,65,23653.80282,0,445.0704225,349.0140845,55.4929577,3464.507042,1462.253521,1244.507042,154.6478873,34.3661972,108.4507042,98.028169,23.0985915,56.3380282,245.6338028,343.3802817,416.056338,1071.830986,6093.802817,5891.549296,988.7323944,147627.8873,616.056338,"mild","Male"
"65",8,66,39238.00475,1162.945368,581.9477435,309.7387173,563.6579572,15104.98812,1024.703088,1234.204276,50.3562945,151.7814727,83.1353919,125.415677,51.7814727,229.6912114,1636.104513,213.7767221,311.6389549,4400.23753,36919.95249,14536.10451,2203.562945,102508.3135,631.1163895,"severe","Male"
"66",8,67,11375.18072,0,154.2168675,147.9518072,23.8554217,4589.39759,1491.807229,669.3975904,112.5301205,31.3253012,10.1204819,58.0722892,21.686747,19.7590361,215.9036145,227.7108434,289.6385542,1442.409639,3122.168675,2015.903614,257.5903614,47384.81928,471.0843373,"mild","Male"
"67",8,68,23982.87462,0,105.1987768,198.7767584,0,1712.844037,1166.055046,716.2079511,177.3700306,23.2415902,29.0519878,58.1039755,37.3088685,25.0764526,122.0183486,233.3333333,333.6391437,744.0366972,6436.391437,2625.688073,321.4067278,51642.20183,423.853211,"mild","Male"
"68",8,69,38248.07018,4511.578947,1038.947368,928.0701754,2998.245614,24671.22807,3747.017544,1823.157895,203.5087719,271.5789474,493.3333333,136.4912281,92.2807018,272.6315789,1637.54386,764.9122807,631.2280702,11671.92982,96152.63158,103906.3158,20397.54386,386808.4211,1572.631579,"severe","Male"
"69",8,70,46125.56391,0,129.3233083,441.3533835,0,2197.744361,1763.157895,2720.300752,251.8796992,77.8195489,237.2180451,90.6015038,19.5488722,148.4962406,275.5639098,578.5714286,508.6466165,903.7593985,6164.661654,3117.293233,532.3308271,117328.1955,1269.548872,"mild","Male"
"70",8,71,24024,917.5384615,532,482.4615385,1502.461538,11842.15385,2269.538462,985.2307692,137.2307692,145.2307692,67.6923077,115.3846154,35.0769231,378.7692308,779.6923077,396.3076923,460.6153846,2702.769231,36203.38462,145032.6154,30544.92308,245650.1538,601.5384615,"severe","Male"
"71",8,72,34841.16505,0,363.4951456,388.7378641,255.9223301,13111.26214,1613.980583,780.776699,87.5728155,44.4660194,40.3883495,72.815534,33.7864078,91.6504854,266.407767,360.9708738,309.5145631,2685.631068,21922.3301,8135.728155,1601.359223,340094.5631,515.9223301,"severe","Male"
"72",8,73,44411.22449,0,0,229.2517007,0,903.4013605,1829.251701,871.0884354,169.047619,36.3945578,0,39.1156463,5.1020408,0,58.1632653,159.1836735,507.1428571,636.7346939,7701.360544,2820.408163,366.3265306,21065.64626,586.7346939,"mild","Male"
"73",8,74,63177.33333,0,476.8888889,895.5555556,151.1111111,4160.444444,3804.888889,3295.555556,433.3333333,78.2222222,994.2222222,142.6666667,23.1111111,226.6666667,382.6666667,1112,1037.333333,1711.111111,7648.444444,5477.333333,994.2222222,52248,2103.111111,"mild","Male"
"74",8,75,11081.13208,0,596.2264151,546.7924528,163.3962264,7873.207547,2995.471698,1815.09434,211.3207547,86.4150943,392.4528302,121.1320755,19.6226415,104.9056604,487.1698113,667.1698113,521.1320755,1992.075472,8598.113208,8490.188679,2507.54717,87545.28302,1412.075472,"severe","Male"
"75",0,76,2897.31343283582,0,0,234.925373134328,21.7910447761194,631.641791044776,1629.55223880597,309.253731343284,30.4477611940298,13.134328358209,310.746268656716,23.5820895522388,17.6119402985075,59.7014925373134,361.492537313433,216.417910447761,279.701492537313,285.373134328358,3271.34328358209,858.805970149254,160.89552238806,2040.59701492537,276.417910447761,"severe","Female"
"76",0,77,3728.08398950131,44.6194225721785,0,215.748031496063,65.8792650918635,927.034120734908,1643.04461942257,361.942257217848,50.1312335958005,34.9081364829396,287.926509186352,20.7349081364829,21.5223097112861,41.994750656168,223.359580052493,0,215.223097112861,486.351706036745,4418.89763779528,973.228346456693,149.081364829396,7883.20209973753,329.396325459318,"severe","Female"
"77",0,78,2432.69841269841,53.968253968254,0,282.539682539683,150.47619047619,1070.79365079365,1941.26984126984,743.809523809524,90.4761904761905,13.968253968254,365.714285714286,25.0793650793651,40.3174603174603,50.7936507936508,364.761904761905,0,289.206349206349,529.52380952381,4101.5873015873,841.904761904762,134.603174603175,4070.15873015873,501.269841269841,"mild","Female"
"78",0,79,2717.66467065868,50.8982035928144,0,194.311377245509,120.658682634731,1757.78443113772,1917.96407185629,412.874251497006,68.562874251497,22.1556886227545,157.185628742515,17.9640718562874,44.6107784431138,35.6287425149701,330.538922155689,0,116.167664670659,382.335329341317,3868.26347305389,1335.02994011976,218.862275449102,6751.19760479042,277.245508982036,"mild","Female"
"79",0,81,2690.9626719057,33.3988212180747,0,273.084479371316,0,1241.45383104126,1115.52062868369,580.353634577603,26.5225933202358,43.0255402750491,372.888015717092,11.7878192534381,20.6286836935167,23.3791748526523,126.522593320236,408.055009823183,248.722986247544,450.49115913556,3600.7858546169,649.115913555992,90.3732809430255,4265.61886051081,404.322200392927,"severe","Female"
"80",0,82,3147.31182795699,285.663082437276,0,367.383512544803,287.813620071685,1308.24372759857,2400.35842293907,839.784946236559,88.5304659498208,37.2759856630824,412.903225806452,34.7670250896057,45.5197132616487,57.3476702508961,462.36559139785,0,349.820788530466,970.609318996416,5059.85663082437,2111.11111111111,262.007168458781,29765.5913978495,507.885304659498,"severe","Female"
"81",0,83,2792.74611398964,129.274611398964,0,186.010362694301,0,1423.57512953368,1205.44041450777,357.253886010363,38.60103626943,34.4559585492228,226.165803108808,13.2124352331606,21.2435233160622,20.2072538860104,171.761658031088,0,289.119170984456,701.554404145078,4227.46113989637,801.554404145078,162.953367875648,7555.69948186528,282.642487046632,"severe","Female"
"82",0,84,2123.95209580838,50.8982035928144,0,173.353293413174,0,1045.50898203593,1304.79041916168,793.712574850299,93.7125748502994,35.3293413173653,286.826347305389,26.3473053892216,31.437125748503,59.8802395209581,152.095808383234,0,233.832335329341,351.197604790419,1418.8622754491,861.377245508982,137.724550898204,12486.8263473054,448.502994011976,"severe","Female"
