Mouse_ID,Sex,Eotaxin,G-CSF,GM-CSF,IFNg,IL-10,IL-12p40,IL-12p70,IL-13,IL-17a,IL-1b,IL-2,IL-3,IL-4,IL-5,IL-6,IL-9,IL-1a,KC,MCP-1,MIP-1b,MIP-1a,RANTES,TNF-a,Day.x,Severity,NK Cells,T-Cells,CD4 T-Cells,Effector CD4 T-Cells,Tregs,Th-1,Th-17,CD8 T-Cells,Effector CD8 T-Cells,CD11b CCR2,CCR2 Ly6cHi,CCR2 Ly6cLo,Neutrophils,Interstitial Macrophages,Alveolar Macrophages,DCs,Day_0_BW
133,Female,7654.521277,3548.138298,411.7021277,334.5744681,339.3617021,18531.91489,2166.489362,539.893617,48.40425532,160.6382979,139.6276596,40.15957447,56.38297872,178.7234043,2140.425532,295.212766,778.7234043,14557.44681,56445.21277,16723.1383,3006.914894,30451.59574,419.9468085,5,severe,16.79758798,27.75847383,19.53138732,0.062193259,0.663845436,0.296093993,0.57461163,7.618674202,0.005408109,2.024700763,1.418169565,0.562579662,1.60716117,3.541028759,3.168905753,0.150900274,15.5
134,Female,6078.431373,150,170.5882353,136.2745098,140.8496732,3395.424837,1568.627451,450.6535948,74.83660131,24.18300654,151.6339869,49.34640523,19.28104575,52.2875817,185.2941176,28.75816993,110.130719,763.0718954,4982.352941,1367.647059,213.3986928,18880.71895,302.6143791,5,mild,2.671028476,31.91922531,19.20617382,0.006090293,0.217510462,0.245351801,0.205329876,11.66552111,0,1.689486197,0.843214152,0.81569311,4.562377206,1.459379706,1.085552217,0.076447339,15.9
135,Female,4234.121622,168.5810811,176.3513514,219.2567568,271.2837838,11503.37838,2065.878378,465.8783784,67.56756757,44.93243243,136.1486486,51.01351351,27.7027027,67.56756757,293.5810811,29.72972973,169.5945946,2061.486486,10462.16216,7134.121622,2425.675676,22949.32432,256.4189189,5,mild,24.35056845,17.41239682,12.73399782,0.083320355,0.681358044,0.348855318,0.369101386,4.152779941,0.024918237,3.113093426,2.2432706,0.822093664,4.4766662,4.399312042,0.632822851,2.041656037,13.9
136,Female,12058.44444,1831.777778,211.7777778,212.8888889,150,7994.222222,1180.666667,451.1111111,32,155.3333333,110,33.55555556,114.2222222,526.6666667,926.8888889,187.5555556,387.1111111,5044.888889,13097.77778,11284.88889,1466.888889,56136.66667,260.6666667,8,mild,8.516540074,10.23745544,6.622260025,0.133815865,0.283342905,1.40127423,3.720026872,2.764895819,0.075305284,5.353367418,2.6831706,2.558237872,5.167409856,5.026620281,0.545859922,3.622568617,16.2
137,Female,3735.371179,1656.550218,113.9737991,186.8995633,202.1834061,5023.799127,1430.349345,373.1441048,23.1441048,114.1921397,94.75982533,32.96943231,32.53275109,95.85152838,310.0436681,19.2139738,186.2445415,1955.895197,18618.55895,14798.9083,2788.209607,46276.20087,274.0174672,8,severe,4.11936595,16.44938538,6.094976901,0.4384805,0.208629218,2.632841961,3.671417144,7.89526095,0.431950634,3.122838105,2.626436712,0.459990533,5.223744736,5.427038705,0.506110956,0.907844113,14.5
138,Female,7726.25,1522.25,321,314.5,374.5,6805.25,1837.25,507.5,31.25,290.75,168,40.5,42.5,60.25,836.5,348,382.5,5494.25,35698.25,40382.25,7634.5,102754.75,394.75,8,severe,12.62892768,23.73142145,9.360349127,0.238154613,0.391022444,3.537406484,8.051371571,10.41795511,0.322942643,6.036967769,4.261044241,1.661365005,4.1198442,5.668249173,0.237642332,3.057380499,13.4
139,Female,4511.627907,1929.568106,173.4219269,329.2358804,774.0863787,4181.727575,2417.607973,458.1395349,60.46511628,146.5116279,232.8903654,50.16611296,56.47840532,66.44518272,788.0398671,280.3986711,349.5016611,1941.196013,56744.51827,81391.69435,19425.24917,35418.27243,470.7641196,8,severe,7.212237637,30.99892451,9.180595107,0.429521304,0.245537375,3.421965787,3.724659934,14.36630388,1.236480225,4.516235966,4.09394232,0.385541127,2.233976623,5.083377773,0.29978525,1.447040341,14.1
140,Female,4118.153846,141.2307692,160.6153846,178.1538462,132.6153846,1480.307692,1612,385.2307692,60.30769231,40.92307692,66.76923077,46.46153846,16,61.53846154,147.0769231,27.07692308,130.4615385,1061.538462,1014.769231,1079.692308,185.8461538,11253.23077,284.9230769,8,mild,15.36137249,15.51447923,10.52279364,0.300129786,0.829412719,0.417748215,3.096609345,3.951370863,0.002027904,3.865774087,0.005084315,3.826794339,4.61825269,3.631895602,3.369205999,3.540377934,17.7
141,Female,13984.08304,3449.134948,180.6228374,435.2941176,1007.612457,31249.13495,2668.16609,917.3010381,67.8200692,393.4256055,321.799308,71.97231834,87.88927336,417.9930796,1179.584775,526.9896194,688.9273356,4810.726644,41477.50865,26762.97578,5318.685121,168738.4083,657.0934256,8,severe,7.097691549,18.11681592,8.403885172,0.560204689,0.342234137,3.060550997,4.433154339,4.299112636,0.288861909,7.603956016,5.258626138,2.206300556,4.632994186,8.164023003,0.713315217,0.110591507,14.9
142,Female,3478.761062,135.3982301,153.9823009,170.7964602,127.1386431,3702.359882,1760.766962,406.7846608,50.73746313,21.82890855,118.879056,44.54277286,17.40412979,35.10324484,269.9115044,25.95870206,88.79056047,464.0117994,2567.846608,1942.182891,257.8171091,17080.82596,370.2064897,8,mild,27.16344122,17.29555762,12.39894082,0.250007042,0.70565368,1.964139835,5.893827995,3.285303811,0.133102341,2.618123055,1.630447891,0.959938255,4.299220955,2.333518246,2.709775452,1.290369263,12.8
143,Female,3850,134.2105263,152.6315789,200,126.0233918,3038.011696,1489.181287,366.0818713,25.43859649,47.36842105,99.70760234,44.15204678,15.20467836,46.78362573,154.3859649,25.73099415,96.49122807,731.871345,2027.192982,1880.994152,246.4912281,35147.36842,221.9298246,8,mild,9.343084842,18.35418419,10.79043303,0.63095335,0.436918234,2.231629985,5.10416384,5.801604747,0.191321338,5.851530941,1.96051168,3.748316843,4.988730168,5.228762953,1.199432118,2.34397869,15.6
144,Female,5537.333333,933.3333333,116,144.2222222,95.77777778,4124.666667,1148,306.4444444,32,110.2222222,61.55555556,33.55555556,18.22222222,71.11111111,443.1111111,57.33333333,202.4444444,2220,12337.33333,8324.666667,1307.777778,50795.11111,278.8888889,8,mild,13.24076648,20.34244057,9.626713772,0.130466361,0.483756714,1.453063494,5.133470226,7.998350116,0.229549062,7.695915052,5.271576197,2.30709967,6.742927965,7.056124073,1.997253253,2.017351399,14.2
145,Female,7483.445946,2894.932432,321.9594595,352.027027,468.9189189,15573.98649,2580.743243,685.8108108,53.37837838,339.527027,197.2972973,57.77027027,99.66216216,161.4864865,1398.648649,514.527027,364.1891892,4221.621622,28991.89189,46527.7027,6728.378378,218900,614.527027,8,severe,7.287943262,16.31607565,6.479905437,0.488179669,0.416548463,1.508747045,3.104728132,7.021040189,0.79858156,6.406799113,5.11883821,1.195320734,5.678804904,7.330575382,0.864516565,0.059634765,15
146,Female,2686.245353,170.6319703,194.0520446,141.6356877,160.2230483,2349.070632,1455.390335,512.6394052,78.0669145,49.44237918,80.66914498,56.133829,19.33085502,44.23791822,128.2527881,32.71375465,130.8550186,1379.553903,13189.96283,3889.219331,807.063197,38189.96283,250.929368,8,severe,6.355632184,11.59632184,7.450344828,0.032183908,0.31862069,0.490344828,2.867586207,3.048965517,0.004137931,9.217187674,8.54811731,0.632271494,6.121250418,13.7252351,1.220310003,2.29565476,14.5
147,Female,4869.607843,163.0718954,170.5882353,142.4836601,140.8496732,2973.529412,1568.627451,558.496732,40.8496732,52.94117647,111.4379085,49.34640523,16.99346405,65.35947712,152.9411765,28.75816993,115.0326797,1052.614379,4222.222222,2127.124183,286.9281046,22185.29412,329.7385621,8,mild,6.175534442,10.71591449,7.503800475,0.073634204,0.316864608,0.314726841,4.722327791,3.001900238,0.032066508,8.597964388,0.016318462,8.549475245,6.143667737,4.571966748,1.039719136,3.306586597,17.8
148,Female,5638.679245,144.3396226,164.1509434,220.4402516,135.5345912,1147.798742,1324.213836,393.7106918,42.45283019,32.70440252,68.23899371,47.48427673,16.35220126,24.52830189,172.0125786,27.67295597,122.0125786,877.0440252,2737.421384,760.0628931,160.6918239,12520.12579,291.1949686,8,mild,15.74733965,13.01864688,8.000585766,0.011715318,0.288001562,0.468612711,1.540564288,3.439422044,0.002928829,7.356206575,3.356493088,3.887973641,6.135663634,7.159945563,5.466657116,0.696225199,13.5
149,Female,4973.144105,2741.921397,387.5545852,271.1790393,615.0655022,18095.19651,1588.864629,511.5720524,25.32751092,207.860262,227.2925764,53.27510917,59.82532751,167.9039301,798.9082969,368.9956332,475.9825328,4065.502183,41845.85153,49120.08734,8413.973799,161891.7031,449.3449782,8,severe,16.30498812,22.37102138,9.081710214,0.460807601,0.55368171,2.742992874,5.69192399,9.995486936,0.683610451,7.145217318,6.010759976,1.018808777,4.457764975,8.911293739,0.748962128,1.952893332,14.7
150,Female,3391.803279,2266.939891,142.6229508,298.3606557,663.6612022,33213.38798,1948.63388,466.9398907,49.72677596,281.6939891,191.5300546,41.2568306,46.44808743,157.1038251,427.8688525,70.49180328,259.5628415,3221.857923,25425.68306,45157.10383,4212.568306,113919.3989,475.136612,8,severe,7.767583009,16.78032972,7.37838986,0.141177907,0.380544413,0.514599831,2.773191969,7.720269332,0.202736562,7.258162682,6.211316797,0.95461483,8.353699074,3.877917919,0.573517983,1.542178151,16.6
