"","Day.x","Mouse_ID","Eotaxin..74.","G.CSF..54.","GM.CSF..73.","IFNg..34.","IL.10..56.","IL.12p40..76.","IL.12p70..78.","IL.13..37.","IL.17A..72.","IL.1b..19.","IL.2..36.","IL.3..18.","IL.4..39.","IL.5..52.","IL.6..38.","IL.9..33.","IL.1a..53.","KC..57.","MCP.1..51.","MIP.1B..75.","MIP.1a..77.","RANTES..55.","TNFa..21.","Severity","Sex","NK Cells","T cells","CD4+ T cells","Effector CD4 T cells","Tregs","Th1","Th17","CD8+ T cells","Effector CD8+ T cells","CD11b+ ccr2+","CCR2+ Ly6cHi","CCR2+ Ly6cLo","Neutrophils","Interstitial Macs","Avleolar Mac","DCs","Day_0_BW"
"1",0,1,19038.76221,0,284.0390879,243.3224756,48.534202,948.534202,1323.778502,1309.771987,142.019544,34.8534202,95.1140065,74.267101,37.1335505,39.7394137,54.723127,352.4429967,306.1889251,787.9478827,6903.583062,2676.872964,313.029316,12180.78176,379.1530945,"mild","Male",3.60782733707546,22.1545627417046,8.42162132464036,0,0.238079976558279,0.0595199941395698,0.69043193201901,8.48541454912841,0.000305230739177281,14.5236467590579,7.36728971620965,7.0009906889858,6.77031734948656,13.4108580975116,0.250414005637057,0.985936603216266,12.7
"2",0,2,23462.54682,0,239.7003745,216.8539326,0,1052.434457,1239.700375,1199.250936,207.4906367,40.0749064,45.3183521,71.1610487,28.0898876,15.3558052,68.164794,277.5280899,336.329588,740.0749064,4004.868914,0,208.988764,8441.947566,435.9550562,"mild","Male",7.01084821047237,14.3691808319809,2.61689587426326,0,0.0761937302468609,0.0331425642777825,0.270607328948492,10.4805671820278,0,8.74765069461936,6.09366220379377,2.59634574024917,9.40400302261146,6.63811978066691,0.342950146286644,0.316308538877371,12.5
"3",0,3,20200.6689,0,358.8628763,384.2809365,33.1103679,2328.428094,1526.755853,1990.635452,229.09699,46.1538462,181.6053512,93.9799331,27.4247492,79.9331104,87.9598662,438.1270903,452.5083612,833.4448161,5150.83612,1475.250836,286.9565217,8980.267559,615.3846154,"mild","Male",4.13966717511727,20.3823701443923,5.39779569460851,0,0.191529136513252,0.0607846960191759,0.853852946910876,11.3030862569243,0,8.32028331337448,5.76299116692767,2.49997441172557,10.4036806173939,6.18570946049682,0.592624435778549,0.805007113540291,14.4
"4",0,4,15982.9932,0,296.5986395,312.9251701,67.0068027,691.8367347,1616.666667,1229.591837,215.3061224,36.3945578,114.9659864,73.1292517,30.6122449,41.4965986,65.9863946,321.4285714,488.4353741,2437.07483,6336.394558,1175.510204,214.6258503,5570.748299,433.6734694,"mild","Male",5.1982334128636,22.3452967155693,6.4226610487842,0.00101527996344992,0.154322554444388,0.0984821564546424,0.912736687141479,12.0310675668816,0.00203055992689984,7.38672715640086,4.25173035537719,3.0506601523876,19.5195719188042,5.56621880998081,0.982958180654918,0.721223753853312,13.3
"5",0,5,20593.80165,0,293.8016529,234.7107438,40.7024793,1238.016529,969.0082645,912.8099174,130.785124,25.2066116,139.4628099,60.7438017,21.9008264,49.3801653,63.4297521,289.6694215,276.6528926,475.2066116,6562.190083,1920.454545,312.8099174,10845.66116,500.2066116,"mild","Male",1.9158183689809,20.5110516985017,2.01983014983415,0,0.0811363376415418,0.0482528880247055,0.198372984101567,14.1184376072286,0,8.84641183476233,4.27650341545327,4.48184128751409,7.23291246674667,7.5441134195144,0.256444186884842,0.767507335125096,16.6
"6",0,6,13697.5,0,86,162.5,0,880,953.25,585.5,124.25,19,0,53.75,11,10.25,62,208,316,722.75,4461.5,652.75,211.25,8454,374.5,"severe","Male",3.55789815218325,23.4830820909053,5.62901794376708,0,0.180042052224919,0.120240098482366,0.458057518028062,13.3227937691454,0,11.9968704066458,6.53964199523082,5.31282989452005,9.13651412775529,9.6942605904231,0.399540916268995,0.460234316796539,16.43
"7",0,7,20525.7732,0,219.9312715,206.8728522,0,1688.659794,964.604811,1100.343643,181.443299,36.7697595,32.6460481,101.0309278,7.5601375,41.9243986,40.2061856,215.4639175,374.9140893,719.5876289,8072.852234,524.742268,407.9037801,15405.84192,514.7766323,"severe","Male",4.27498832461172,30.2805685614724,8.38592247542181,0,0.0898106790884815,0.082625824761403,0.934031062520207,10.2599719790681,0,7.28740712384068,2.96159668690946,4.24620230037064,6.62487602011519,7.76070577180741,0.380204980076215,1.29896117907046,15.9
"8",0,8,20272.06349,0,109.2063492,356.5079365,62.5396825,1101.587302,1130.793651,1526.984127,206.031746,38.7301587,283.1746032,93.3333333,15.2380952,63.4920635,50.4761905,372.3809524,479.6825397,430.1587302,4673.333333,0,204.1269841,10013.33333,475.5555556,"severe","Male",2.64149163812567,22.1629460206674,10.5559452720188,0,0.310070207912096,0.0907810114419444,1.23025955116453,9.091659347202,0.000589487087285353,5.71456351872149,1.09518085068769,4.5071244210303,12.4173531803557,4.47795495527349,0.494113071456352,1.10755577555422,13.41
"9",0,9,26482.55034,0,169.4630872,359.7315436,0,576.5100671,1405.704698,1349.328859,222.8187919,30.8724832,208.0536913,72.147651,5.033557,93.2885906,59.3959732,340.2684564,430.8724832,608.3892617,7062.751678,512.4161074,259.0604027,8029.194631,502.6845638,"severe","Male",3.91576620290789,24.3632201715487,5.57467937977884,0,0.156230280822842,0.063971730587626,0.84816940758696,14.8162009495668,0.0017407273629286,11.2916497467353,8.86586590865374,2.36380345807775,5.87370963260595,10.5778067494497,0.358524439505012,0.0336617581055376,12.25
"10",0,10,20698.97959,0,319.8979592,482.6530612,86.7346939,1076.785714,1833.928571,1799.744898,191.0714286,41.0714286,501.5306122,68.3673469,27.0408163,120.4081633,131.6326531,708.4183673,485.2040816,579.3367347,5444.132653,1601.020408,249.4897959,7562.5,738.5204082,"mild","Male",2.39315257352941,25.44921875,8.42256433823529,0.000574448529411765,0.183823529411765,0.0947840073529412,0.959903492647059,12.0513556985294,0,10.5022029867041,8.51415370218739,1.93297461691426,8.25925059461145,8.8129215892697,0.330448005614692,0.506394510079152,12.43
"11",0,11,27384.50704,0,377.8169014,533.4507042,232.3943662,953.5211268,1761.619718,3230.28169,309.1549296,64.7887324,425.3521127,132.0422535,34.5070423,179.5774648,124.2957746,678.8732394,461.971831,960.915493,5303.521127,2678.169014,315.8450704,8557.746479,935.5633803,"severe","Male",3.43271497630557,27.592694020432,9.44324054009001,0.00297668659062225,0.417331460005239,0.117281451670517,0.941823637272879,10.1635986950206,0,9.29487310162063,5.82815207420243,3.34563245336867,10.1649169299766,10.16450922434,0.321272041585975,0.876567118540414,9.58
"12",0,12,16983.46457,0,251.9685039,200,0,944.488189,1105.11811,1260.629921,232.6771654,36.2204724,86.6141732,84.6456693,23.2283465,32.2834646,62.5984252,264.5669291,467.7165354,335.4330709,6129.527559,0,197.6377953,6920.472441,458.2677165,"mild","Male",1.62780331094271,34.2499654149438,11.2731912015617,0.00153711360806677,0.501099036229768,0.14295156555021,3.62912522864565,20.0885377438246,0,6.13769568097398,3.74550363482388,2.32930581991062,4.36681955007001,5.90543588539614,0.217167101280364,0.035216286694113,10.66
"13",0,13,20791.17647,0,168.627451,203.9215686,0,1427.45098,1066.666667,1148.039216,253.9215686,37.254902,0,93.1372549,44.1176471,0,40.1960784,240.6862745,548.5294118,773.0392157,4442.156863,0,372.0588235,13324.01961,463.7254902,"severe","Male",2.75334573497806,20.1836767866496,5.4714732070292,0,0.143582148855858,0.130939695497481,0.632122667918872,9.01858440643682,0.000903032382741245,15.3295842824601,8.26523348519362,6.84225512528474,11.5674829157175,13.6417995444191,0.21996013667426,1.21725512528474,12.36
"14",0,14,11953.77049,0,319.6721311,143.9344262,0,580.6557377,1002.95082,910.8196721,207.5409836,35.0819672,31.147541,79.0163934,9.5081967,13.442623,46.2295082,190.8196721,376.0655738,473.442623,3309.836066,0,239.0163934,6265.245902,418.0327869,"mild","Male",3.89853608793278,31.8187612146646,5.72523949130772,0.000980517124731583,0.220616353064606,0.14217498308608,0.654985439320698,20.3065096531911,0,4.00968744018963,0.82078235649191,3.11970908234324,12.3809313487331,3.50028708979285,0.389411539537417,0.286353665179689,12.43
"15",0,15,8332.786885,0,112.7868852,121.6393443,0,1170.819672,1105.901639,910.8196721,183.6065574,30.1639344,3.9344262,62.295082,4.9180328,13.442623,60.3278689,160.9836066,299.0163934,550.8196721,4713.442623,0,156.3934426,4755.409836,345.5737705,"severe","Male",6.0009296413292,29.3396700721895,8.10021154083307,0,0.258022899532333,0.0863238377111851,0.564425092726979,15.7412940986748,0,8.07735249491855,5.60104205433569,2.40474077467006,9.86516274942029,6.14783430190948,0.521742864504309,0.678480432853339,11.7
"16",3,16,26366.66667,0,721.4611872,352.5114155,133.7899543,1047.945205,1626.484018,1650.684932,289.0410959,42.0091324,19.1780822,86.7579909,48.4018265,118.2648402,191.7808219,410.9589041,447.9452055,881.7351598,10142.46575,1192.237443,210.0456621,16734.7032,735.6164384,"severe","Male",0.473818035109447,29.858980493709,7.28178568412756,0.0131355494881827,0.229872116043197,0.685863333990111,1.17938469333183,10.2447903472476,0.00187650706974039,9.22514310916726,7.17337572243713,2.00398776106512,10.6557753622523,8.2089072248307,0.255437229516783,11.635257688385,11
"17",3,17,6737.614679,116.0550459,0,0,0,933.0275229,0,0,22.9357798,55.9633028,0,63.7614679,0,18.8073394,311.4678899,49.0825688,118.8073394,878.8990826,19303.66972,0,115.1376147,4049.541284,82.1100917,"mild","Male",1.0149859693116,27.8928758599187,5.32436430699014,0.00132677904485177,0.141965357799139,0.263365640403075,0.686608155710789,8.4555628528403,0.00331694761212941,12.9171375498487,9.29815673590273,3.54428899886988,14.4876141485783,6.28320538300664,0.474130652221919,16.6491303274749,11.7
"18",3,18,28481.96721,275.0819672,411.147541,479.3442623,474.4262295,8810.163934,2173.114754,1703.606557,259.6721311,90.1639344,122.295082,87.8688525,63.6065574,242.295082,534.7540984,414.7540984,520.3278689,3883.606557,67624.91803,12054.42623,3387.540984,42338.03279,910.1639344,"severe","Male",1.55041268813724,31.4684145223067,5.03371635108162,0.0399201596806387,0.190429950908993,0.227113340885796,0.338242434050817,8.33953714193235,0.0269730808652964,10.7200244477085,0.0211945860155164,10.6815784544711,8.12541280152995,18.9006417523487,0.201102118472807,7.70497136266401,13.1
"19",3,19,37627.72277,254.4554455,703.960396,543.0693069,326.7326733,4398.019802,3002.970297,2381.188119,461.3861386,75.7425743,246.5346535,185.6435644,67.8217822,156.9306931,457.9207921,671.2871287,778.7128713,2306.930693,38265.34653,7605.445545,1274.257426,43607.92079,1551.980198,"severe","Male",2.03281260213086,27.1128831949801,6.79782992352441,0.0163409373161645,0.246748153474083,0.653637492646578,0.965749395385319,6.26511536701745,0.00653637492646578,13.7888198757764,8.71718426501035,4.95569358178054,9.36314699792961,17.6844720496894,0.579710144927536,17.967701863354,13.1
"20",3,20,35275.22124,0,466.0766962,517.9941003,299.1150442,1882.300885,2359.882006,2027.433628,211.5044248,54.2772861,423.5988201,102.6548673,40.4129794,116.519174,308.259587,798.820059,548.9675516,2417.40413,9332.448378,3461.356932,259.2920354,30623.89381,1140.117994,"mild","Male",0.952038800071852,18.9458287356617,6.36232218772186,0,0.107777977366625,0.451641048012523,0.420847340193487,5.62412858083776,0,7.96033152045987,5.35189980054262,2.55516049505073,14.3949999380567,8.78541607304352,0.167866301614242,4.86812274681302,13
